epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
141	0.733	1.0	0.9888324873096447	0.9644670050761421	0.9786802030456853	0.9939086294416244
142	0.733	0.996	0.9918781725888325	0.966497461928934	0.9675126903553299	0.9888324873096447
143	0.733	0.998	0.9908536585365854	0.9634146341463414	0.9745934959349594	0.991869918699187
144	0.746	1.0	0.9898477157360406	0.9675126903553299	0.9796954314720813	0.9928934010152284
145	0.725	0.997	0.9847560975609756	0.9654471544715447	0.9725609756097561	0.9908536585365854
146	0.746	0.998	0.9867886178861789	0.9644308943089431	0.9796747967479674	0.991869918699187
147	0.737	0.997	0.9888211382113821	0.9684959349593496	0.975609756097561	0.991869918699187
148	0.733	0.997	0.9898373983739838	0.9634146341463414	0.9705284552845529	0.9888211382113821
149	0.741	0.999	0.9898373983739838	0.9644308943089431	0.9786585365853658	0.9928861788617886
150	0.746	1.0	0.983756345177665	0.966497461928934	0.9766497461928934	0.9939086294416244
151	0.507	0.92	0.9532520325203252	0.9339430894308943	0.8658536585365854	0.8882113821138211
152	0.76	0.998	0.9888211382113821	0.9684959349593496	0.9776422764227642	0.991869918699187
153	0.753	0.998	0.9898373983739838	0.9664634146341463	0.9796747967479674	0.991869918699187
154	0.766	0.999	0.9878048780487805	0.9654471544715447	0.9796747967479674	0.9939024390243902
155	0.767	0.998	0.9898373983739838	0.9664634146341463	0.9817073170731707	0.9928861788617886
156	0.751	0.998	0.9908536585365854	0.9695121951219512	0.9735772357723578	0.9908536585365854
157	0.766	0.997	0.9898373983739838	0.9684959349593496	0.9766260162601627	0.991869918699187
158	0.759	0.998	0.9847715736040609	0.9715736040609138	0.9736040609137055	0.9918781725888325
159	0.774	0.998	0.9888324873096447	0.9715736040609138	0.9807106598984772	0.9928934010152284
160	0.768	0.998	0.9908536585365854	0.9725609756097561	0.975609756097561	0.9928861788617886
161	0.773	0.997	0.9878048780487805	0.9715447154471545	0.9745934959349594	0.9928861788617886
162	0.771	0.999	0.9888324873096447	0.9756345177664975	0.9807106598984772	0.9918781725888325
163	0.777	0.996	0.9898373983739838	0.9715447154471545	0.9796747967479674	0.9939024390243902
164	0.774	0.996	0.9898477157360406	0.9715736040609138	0.9776649746192894	0.9908629441624366
165	0.75	0.997	0.9888211382113821	0.9695121951219512	0.975609756097561	0.9888211382113821
166	0.79	1.0	0.9898477157360406	0.9725888324873097	0.9827411167512691	0.9939086294416244
167	0.784	0.999	0.9908629441624366	0.9736040609137055	0.9817258883248731	0.9928934010152284
168	0.791	0.998	0.9898373983739838	0.9735772357723578	0.9817073170731707	0.9928861788617886
169	0.54	0.993	0.9552845528455285	0.9115853658536586	0.9420731707317073	0.9573170731707317
170	0.79	0.998	0.9867886178861789	0.975609756097561	0.9847560975609756	0.991869918699187
171	0.789	0.997	0.9908536585365854	0.9705284552845529	0.9817073170731707	0.9908536585365854
172	0.789	0.998	0.9898477157360406	0.9695431472081218	0.9796954314720813	0.9928934010152284
173	0.797	0.999	0.9908629441624366	0.9725888324873097	0.9807106598984772	0.9939086294416244
174	0.799	0.997	0.9878172588832488	0.9746192893401016	0.9766497461928934	0.9928934010152284
175	0.803	0.998	0.9898477157360406	0.9756345177664975	0.9796954314720813	0.9928934010152284
176	0.785	0.998	0.9888324873096447	0.9725888324873097	0.9847715736040609	0.9928934010152284
177	0.781	0.997	0.9918781725888325	0.9746192893401016	0.9756345177664975	0.9888324873096447
178	0.797	0.998	0.9888324873096447	0.9715736040609138	0.9807106598984772	0.9928934010152284
